Date;Open;High;Low;Close;Volume
2024.04.29 04:00;2332.03;2333.2;2320.04;2332.55;12223
2024.04.29 08:00;2332.57;2341.26;2327.49;2338.07;14978
2024.04.29 12:00;2337.99;2344.3;2328.39;2331.95;11121
2024.04.29 16:00;2331.85;2346.63;2325.67;2342.78;16970
2024.04.29 20:00;2343;2346.62;2332.97;2336.35;9950
2024.04.30 00:00;2335.67;2336.23;2331.67;2333.95;4233
2024.04.30 04:00;2333.91;2336.1;2324.92;2326.39;9670
2024.04.30 08:00;2326.39;2326.83;2310.71;2312.82;12966
2024.04.30 12:00;2312.76;2317.96;2304.55;2306.04;13029
2024.04.30 16:00;2306.03;2313.24;2293.16;2294.71;20351
2024.04.30 20:00;2294.75;2297.45;2285.04;2285.57;11486
2024.05.01 00:00;2287.72;2293.17;2285.76;2286.87;4996
2024.05.01 04:00;2286.79;2289.44;2281.63;2283.2;7014
2024.05.01 08:00;2283.14;2289.67;2282.55;2286.23;8765
2024.05.01 12:00;2286.33;2299.97;2285.73;2298.25;12109
2024.05.01 16:00;2298.25;2310.44;2295.21;2303.73;17991
2024.05.01 20:00;2303.78;2328.2;2295.57;2318.09;18788
2024.05.02 00:00;2319.33;2325.91;2318.93;2324.43;5493
2024.05.02 04:00;2324.32;2326.43;2317.26;2318.2;8328
2024.05.02 08:00;2318.21;2319.05;2302.96;2304.04;12087
2024.05.02 12:00;2304.04;2305.31;2293.53;2294.5;13332
2024.05.02 16:00;2294.61;2306.92;2285.5;2299.61;19449
2024.05.02 20:00;2299.61;2309.43;2299.34;2302.94;9827
2024.05.03 00:00;2304.97;2305.55;2300.21;2303.97;4492
2024.05.03 04:00;2303.97;2308.02;2299.88;2307.41;7989
2024.05.03 08:00;2307.43;2308.75;2297.77;2301.37;12185
2024.05.03 12:00;2301.26;2320.59;2294.66;2304.68;13996
2024.05.03 16:00;2304.7;2308.9;2277.38;2299.22;20214
2024.05.03 20:00;2299.2;2303.27;2296;2300.95;8196
2024.05.06 00:00;2302.1;2303.13;2291.79;2295.97;6131
2024.05.06 04:00;2296.01;2315.31;2296.01;2309.13;12691
2024.05.06 08:00;2309.1;2324.15;2308.69;2318.22;13175
2024.05.06 12:00;2318.25;2330.26;2314.54;2323.29;13403
2024.05.06 16:00;2323.3;2331.99;2318.11;2325.48;17979
2024.05.06 20:00;2325.59;2328.73;2320.98;2324.31;7976
2024.05.07 00:00;2325.07;2329.45;2322.13;2329.25;5020
2024.05.07 04:00;2329.05;2329.88;2319.63;2322.61;10835
2024.05.07 08:00;2322.61;2323.23;2311.72;2315.72;12521
2024.05.07 12:00;2315.66;2317.32;2310.01;2316;12265
2024.05.07 16:00;2315.97;2323.63;2312.37;2312.44;16753
2024.05.07 20:00;2312.44;2317.41;2311.06;2313.76;7608
2024.05.08 00:00;2314.99;2316.63;2313.79;2314.16;3531
2024.05.08 04:00;2314.16;2319.3;2306.97;2319.25;10642
2024.05.08 08:00;2319.25;2321.32;2303.72;2307.29;13596
2024.05.08 12:00;2307.27;2318.9;2306.98;2314.53;14262
2024.05.08 16:00;2314.41;2321.01;2306.89;2317.03;16980
2024.05.08 20:00;2317.03;2317.5;2307.94;2308.63;7894
2024.05.09 00:00;2309.55;2310.8;2307.85;2309.32;3417
2024.05.09 04:00;2309.32;2315.19;2307.87;2314.49;8955
2024.05.09 08:00;2314.49;2319.69;2307.5;2310.42;13546
2024.05.09 12:00;2310.34;2329.33;2306.73;2326.71;13551
2024.05.09 16:00;2326.67;2338.71;2312.29;2329.68;18776
2024.05.09 20:00;2329.69;2347.17;2329.42;2345.1;8884
2024.05.10 00:00;2345.71;2348.99;2344.53;2347.57;3945
